Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
Argentina,Iron and steel,73066199,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of > 2 mm",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73066910,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,73066990,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel other than stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73069000,"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless or welded tubes and pipes and tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,7307,"Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel",,,,see below,see below,see below, 
Argentina,Iron and steel,730711,Tube or pipe fittings of non-malleable cast iron,2.34,,2.34,2.574,2.808,3.042, 
Argentina,Iron and steel,73071910,Tube or pipe fittings of cast iron (excl. of non-malleable),2.34,,2.34,2.574,2.808,3.042, 
Argentina,Iron and steel,73071990,Cast tube or pipe fittings of steel,2.46,,2.46,2.706,2.952,3.198,(C)
Argentina,Iron and steel,73072100,Flanges of stainless steel (excl. cast products),2.41,,2.41,2.651,2.892,3.133, 
Argentina,Iron and steel,730722,"Threaded elbows, bends and sleeves of stainless steel (excl. cast products)",2.41,,2.41,2.651,2.892,3.133, 
Argentina,Iron and steel,730723,Butt welding tube or pipe fittings of stainless steel (excl. cast products),2.41,,2.41,2.651,2.892,3.133, 
Argentina,Iron and steel,730729,"Tube or pipe fittings of stainless steel (excl. cast products, flanges, threaded elbows, bends and sleeves and butt weldings fittings)",2.41,,2.41,2.651,2.892,3.133, 
Argentina,Iron and steel,73079100,Flanges of iron or steel (excl. cast or stainless products),2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,730792,"Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,730793,"Butt welding fittings of iron or steel (excl. cast iron or stainless steel products, and flanges)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,730799,"Tube or pipe fittings, of iron or steel (excl. cast iron or stainless steel products; flanges; threaded elbows, bends and sleeves; butt welding fittings)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7308,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",3.01,,3.01,3.311,3.612,3.913,(C)
Argentina,Iron and steel,7309,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excl. containers specifically constructed or equipped for one or more types of transport)",3.01,,3.01,3.311,3.612,3.913,(C)
Argentina,Iron and steel,7310,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of <= 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated, n.e.s.",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,7311,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)",,,,see below,see below,see below, 
Argentina,Iron and steel,731100,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)",2.63,,2.63,2.893,3.156,3.419,(C)
Argentina,Iron and steel,7318,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)",,,,see below,see below,see below, 
Argentina,Iron and steel,73181100,Coach screws of iron or steel,2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73181210,Wood screws of stainless steel (excl. coach screws),3.23,,3.23,3.553,3.876,4.199,(C)
Argentina,Iron and steel,73181290,Wood screws of iron or steel other than stainless (excl. coach screws),2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73181300,"Screw hooks and screw rings, of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73181410,"Self-tapping screws, of stainless steel (excl. wood screws)",3.23,,3.23,3.553,3.876,4.199,(C)
Argentina,Iron and steel,73181491,Spaced-thread screws of iron or steel other than stainless,2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73181499,Self-tapping screws of iron or steel other than stainless (excl. spaced-thread screws and wood screws),2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. coach screws and other wood screws, screw hooks and screw rings, self-tapping screws, lag screws, stoppers, plugs and the like, threaded)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,731816,Nuts of iron or steel,2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73181900,"Threaded articles, of iron or steel, n.e.s.",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73182100,"Spring washers and other lock washers, of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73182200,Washers of iron or steel (excl. spring washers and other lock washers),2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73182300,Rivets of iron or steel (excl. tubular and bifurcated rivets for particular uses),2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73182400,"Cotters and cotter pins, of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73182900,"Non-threaded articles, of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7326,"Articles of iron or steel, n.e.s. (excl. cast articles)",,,,see below,see below,see below, 
Argentina,Iron and steel,73261100,"Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not further worked",2.46,,2.46,2.706,2.952,3.198,(C)
Argentina,Iron and steel,732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excl. grinding balls and similar articles for mills)",2.46,,2.46,2.706,2.952,3.198,(C)
Argentina,Iron and steel,73262000,"Articles of iron or steel wire, n.e.s.",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73269030,"Ladders and steps, of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73269040,"Pallets and similar platforms for handling goods, of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73269050,"Reels for cables, piping and the like, of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73269060,"Ventilators, non-mechanical, guttering, hooks and like articles used in the building industry, n.e.s., of iron or steel",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73269092,"Articles of iron or steel, open-die forged, n.e.s.",2.46,,2.46,2.706,2.952,3.198,(C)
Argentina,Iron and steel,73269094,"Articles of iron or steel, closed-die forged, n.e.s.",2.46,,2.46,2.706,2.952,3.198,(C)
Argentina,Iron and steel,73269096,"Sintered articles of iron or steel, n.e.s.",2.46,,2.46,2.706,2.952,3.198,(C)
Argentina,Iron and steel,73269098,"Articles of iron or steel, n.e.s.",2.68,,2.68,2.948,3.216,3.484,(C)
Armenia,Cement,25070080,Calcined clay,,,,,,,
Armenia,Cement,25231000,White clinker,,,,,,,
Armenia,Cement,25231000,Grey clinker,1.36,0.01,1.37,1.507,1.644,1.781,(A)
Armenia,Cement,25232100,White Portland cement,,,,,,, 
Armenia,Cement,25232900,Grey Portland cement,1.32,0.02,1.35,1.485,1.62,1.755, 
Armenia,Cement,25239000,White hydraulic cements,,,,,,,
Armenia,Cement,25239000,Grey hydraulic cements,1.26,0.03,1.28,1.408,1.536,1.664,(A)
Armenia,Cement,25233000,Aluminous cement,,,,,,, 
Armenia,Fertilisers,28080000,Nitric acid; sulphonitric acids,2.75,0.02,2.77,2.798,2.798,2.798, 
Armenia,Fertilisers,28141000,Anhydrous ammonia,,,,,,,
Armenia,Fertilisers,28142000,Ammonia in aqueous solution,0.65,0.02,0.66,0.667,0.667,0.667,
Armenia,Fertilisers,28342100,Nitrate of potassium,2.22,0.02,2.25,2.273,2.273,2.273,
Armenia,Fertilisers,3102,"Mineral or chemical fertilizers, nitrogenous",,,,see below,see below,see below,
Armenia,Fertilisers,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.49,0.01,0.5,0.505,0.505,0.505,
Armenia,Fertilisers,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.81,0.01,0.82,0.828,0.828,0.828,
Armenia,Fertilisers,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",1.47,0.04,1.51,1.525,1.525,1.525,
Armenia,Fertilisers,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",1.44,0.04,1.48,1.495,1.495,1.495,
Armenia,Fertilisers,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.64,0.03,0.66,0.667,0.667,0.667,
Armenia,Fertilisers,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,1.42,0.03,1.46,1.475,1.475,1.475,
Armenia,Fertilisers,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),1.68,0.03,1.71,1.727,1.727,1.727,
Armenia,Fertilisers,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.59,0.04,2.62,2.646,2.646,2.646,
Armenia,Fertilisers,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.22,0.04,2.25,2.273,2.273,2.273,
Armenia,Fertilisers,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.22,0.04,2.25,2.273,2.273,2.273,
Armenia,Fertilisers,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",4.3,0.03,4.33,4.373,4.373,4.373,
Armenia,Fertilisers,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.17,0.03,2.2,2.222,2.222,2.222,
Armenia,Fertilisers,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),1.62,0.03,1.65,1.667,1.667,1.667,
Armenia,Fertilisers,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),1.66,0.04,1.7,1.717,1.717,1.717,
Armenia,Fertilisers,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",,,,see below,see below,see below,
Armenia,Fertilisers,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",0.82,0.03,0.85,0.859,0.859,0.859,
Armenia,Fertilisers,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.08,0.04,1.12,1.131,1.131,1.131,
Armenia,Fertilisers,31052090,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.74,0.03,0.76,0.768,0.768,0.768,
